InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,Month,Year,HighValueCustomer
540997,84692,BOX OF 24 COCKTAIL PARASOLS,2,13/01/2011 09:55,0.42,17368,United Kingdom,0.84,1,2011,No
560451,21628,TRIANGULAR POUFFE VINTAGE ,4,19/07/2011 09:50,14.95,14911,Eire,59.8,7,2011,No
541523,22467,GUMBALL COAT RACK,2,19/01/2011 10:09,2.55,17708,United Kingdom,5.1,1,2011,No
578510,23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,4,24/11/2011 13:25,0.39,14056,United Kingdom,1.56,11,2011,No
576686,23229,VINTAGE DONKEY TAIL GAME ,1,16/11/2011 12:08,3.75,16916,United Kingdom,3.75,11,2011,No
566562,22812,PACK 3 BOXES CHRISTMAS PANNETONE,6,13/09/2011 12:18,1.95,17365,United Kingdom,11.7,9,2011,No
556447,23237,SET OF 4 KNICK KNACK TINS LEAVES ,12,10/06/2011 15:37,4.15,15632,United Kingdom,49.8,6,2011,No
548358,84050,PINK HEART SHAPE EGG FRYING PAN,6,30/03/2011 15:29,1.65,15832,United Kingdom,9.9,3,2011,No
575331,23252,VINTAGE RED ENAMEL TRIM JUG ,4,09/11/2011 13:52,3.75,13209,United Kingdom,15,11,2011,No
578270,21914,BLUE HARMONICA IN BOX ,9,23/11/2011 13:39,2.46,14096,United Kingdom,22.14,11,2011,No
567174,22893,MINI CAKE STAND T-LIGHT HOLDER,12,18/09/2011 13:31,0.42,16438,United Kingdom,5.04,9,2011,No
541410,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,24,17/01/2011 16:06,1.25,13089,United Kingdom,30,1,2011,No
568054,21394,RED POLKADOT BEAKER ,6,23/09/2011 12:50,0.39,16978,United Kingdom,2.34,9,2011,No
580884,20712,JUMBO BAG WOODLAND ANIMALS,1,06/12/2011 12:21,2.08,15907,United Kingdom,2.08,12,2011,No
538524,22461,SAVOY ART DECO CLOCK,1,13/12/2010 09:35,25.49,Unknown,United Kingdom,25.49,12,2010,No
550906,84596F,SMALL MARSHMALLOWS PINK BOWL,24,21/04/2011 12:34,0.42,14298,United Kingdom,10.08,4,2011,No
557466,21929,JUMBO BAG PINK VINTAGE PAISLEY,20,20/06/2011 13:08,2.08,13815,Germany,41.6,6,2011,No
541274,40016,CHINESE DRAGON PAPER LANTERNS,24,17/01/2011 11:24,0.42,15696,United Kingdom,10.08,1,2011,No
538566,22082,RIBBON REEL STRIPES DESIGN ,1,13/12/2010 11:21,3.36,Unknown,United Kingdom,3.36,12,2010,No
546555,22193,RED DINER WALL CLOCK,2,15/03/2011 09:22,8.5,17675,United Kingdom,17,3,2011,No
541223,21888,BINGO SET,1,14/01/2011 14:39,3.75,17954,United Kingdom,3.75,1,2011,No
567656,22348,TEA BAG PLATE RED RETROSPOT,7,21/09/2011 14:40,1.63,14096,United Kingdom,11.41,9,2011,No
578211,22753,SMALL YELLOW BABUSHKA NOTEBOOK ,2,23/11/2011 11:47,0.85,12748,United Kingdom,1.7,11,2011,No
566850,22942,CHRISTMAS LIGHTS 10 SANTAS ,4,15/09/2011 12:04,8.5,13662,United Kingdom,34,9,2011,No
541592,22750,FELTCRAFT PRINCESS LOLA DOLL,1,19/01/2011 15:08,7.46,Unknown,United Kingdom,7.46,1,2011,No
545295,22567,20 DOLLY PEGS RETROSPOT,20,01/03/2011 12:09,1.25,12709,Germany,25,3,2011,No
539257,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,16/12/2010 14:29,2.1,16210,United Kingdom,12.6,12,2010,No
571965,23348,CHILDRENS TOY COOKING UTENSIL SET,3,20/10/2011 10:41,2.08,17238,United Kingdom,6.24,10,2011,No
558881,21668,RED STRIPE CERAMIC DRAWER KNOB,12,04/07/2011 14:36,1.25,12705,Germany,15,7,2011,No
554704,23174,REGENCY SUGAR BOWL GREEN,6,26/05/2011 10:09,4.15,15658,United Kingdom,24.9,5,2011,No
569222,23294,SET OF 6 SNACK LOAF BAKING CASES,8,02/10/2011 13:46,0.83,15906,United Kingdom,6.64,10,2011,No
556432,23052,RECYCLED ACAPULCO MAT TURQUOISE,4,10/06/2011 13:59,8.25,16184,United Kingdom,33,6,2011,No
563404,21062,PARTY INVITES SPACEMAN,12,16/08/2011 11:04,0.85,16303,United Kingdom,10.2,8,2011,No
537144,84534B,FAIRY CAKE NOTEBOOK A5 SIZE,1,05/12/2010 13:00,0.85,15880,United Kingdom,0.85,12,2010,No
577633,79321,CHILLI LIGHTS,4,21/11/2011 10:35,5.75,14194,United Kingdom,23,11,2011,No
576172,23355,HOT WATER BOTTLE KEEP CALM,24,14/11/2011 11:00,4.15,15482,United Kingdom,99.6,11,2011,No
578811,21832,CHOCOLATE CALCULATOR,24,25/11/2011 13:28,1.65,12438,Norway,39.6,11,2011,No
